document_id,title,date_published,category,url,summary,pdf_link,extracted_text
mospi_doc_1,Consumer Price Index (CPI) June 2024,2024-06-12,Economic Indicators,https://mospi.gov.in/press-release/cpi-june-2024,CPI for June 2024 indicates moderation in retail inflation driven by easing food prices.,https://example.com/cpi_june_2024.pdf,The CPI report shows food inflation easing while core inflation remains stable.
mospi_doc_2,Index of Industrial Production (IIP) April 2024,2024-05-28,Industrial Statistics,https://mospi.gov.in/press-release/iip-april-2024,IIP recorded a growth of 5.2 percent in April 2024.,https://example.com/iip_april_2024.pdf,Industrial output growth was led by manufacturing and mining sectors.
mospi_doc_3,Wholesale Price Index (WPI) April 2024,2024-05-14,Price Statistics,https://mospi.gov.in/press-release/wpi-april-2024,WPI showed a slight increase due to manufactured products prices.,https://example.com/wpi_april_2024.pdf,Wholesale prices rose marginally while fuel prices stayed stable.
mospi_doc_4,Quarterly GDP Estimates Q4 2023-24,2024-05-31,National Accounts,https://mospi.gov.in/press-release/gdp-q4-2023-24,GDP growth remained steady supported by services and manufacturing.,https://example.com/gdp_q4_2024.pdf,"GDP estimates show expansion in construction, manufacturing, and services."
mospi_doc_5,Employment Situation Quarterly Report Q1 2024,2024-03-15,Labour Statistics,https://mospi.gov.in/publication/employment-q1-2024,Labour force participation improved with a slight decline in unemployment.,https://example.com/employment_q1_2024.pdf,Urban employment indicators show gradual recovery post-pandemic.
mospi_doc_6,Annual Survey of Industries 2022-23,2023-12-20,Industrial Surveys,https://mospi.gov.in/publication/asi-2022-23,ASI provides insights into industrial performance across sectors.,https://example.com/asi_2022_23.pdf,Manufacturing units showed improved output and employment levels.
mospi_doc_7,National Accounts Statistics 2023,2023-11-10,National Accounts,https://mospi.gov.in/publication/nas-2023,NAS presents detailed national income aggregates.,https://example.com/nas_2023.pdf,National income aggregates show steady growth in GVA.
mospi_doc_8,Time Use Survey 2019,2023-10-05,Social Statistics,https://mospi.gov.in/publication/time-use-survey,Survey captures how individuals allocate time to activities.,https://example.com/time_use_survey.pdf,Time allocation differs significantly across gender and regions.
mospi_doc_9,Economic Census 2013 Report,2023-09-18,Census,https://mospi.gov.in/publication/economic-census-2013,Census provides enterprise-level economic activity data.,https://example.com/economic_census_2013.pdf,Non-agricultural enterprises dominate employment generation.
mospi_doc_10,Service Sector Statistics 2022,2023-08-12,Service Sector,https://mospi.gov.in/publication/service-sector-2022,Service sector growth trends across major industries.,https://example.com/service_sector_2022.pdf,Services contribute significantly to GDP and employment.
mospi_doc_11,Energy Statistics India 2023,2023-07-25,Energy Statistics,https://mospi.gov.in/publication/energy-statistics-2023,Energy production and consumption trends in India.,https://example.com/energy_statistics_2023.pdf,Renewable energy share has increased steadily.
mospi_doc_12,Housing Statistics in India 2021,2023-06-30,Housing Statistics,https://mospi.gov.in/publication/housing-statistics-2021,Housing stock and construction trends across states.,https://example.com/housing_statistics_2021.pdf,Urban housing demand continues to rise.
